Time;cpu
2016-09-07 04:25:17.994;1.17
2016-09-07 04:25:47.974;0.84
2016-09-07 04:26:17.994;0.51
2016-09-07 04:26:47.975;0.59
2016-09-07 04:27:17.998;0.47
2016-09-07 04:27:47.980;0.45
2016-09-07 04:28:17.976;0.57
2016-09-07 04:28:48.001;1.14
2016-09-07 04:29:17.977;1.22
2016-09-07 04:29:48.003;1.39
2016-09-07 04:30:17.981;1.47
2016-09-07 04:30:47.994;1.68
2016-09-07 04:31:17.981;1.81
2016-09-07 04:31:47.999;1.76
2016-09-07 04:32:17.992;1.75
2016-09-07 04:32:47.984;1.72
2016-09-07 04:33:18.009;1.86
2016-09-07 04:33:47.991;1.8
2016-09-07 04:34:17.986;1.22
2016-09-07 04:34:48.009;1.39
2016-09-07 04:35:17.988;0.99
2016-09-07 04:35:48.016;0.68
2016-09-07 04:36:17.989;0.41
2016-09-07 04:36:48.013;0.25
2016-09-07 04:37:17.990;0.26
2016-09-07 04:37:48.018;0.26
2016-09-07 04:38:17.993;0.92
2016-09-07 04:38:48.009;1.35
2016-09-07 04:39:17.995;1.6
2016-09-07 04:39:48.009;1.48
2016-09-07 04:40:17.996;1.55
2016-09-07 04:40:48.017;1.22
2016-09-07 04:41:17.998;1.37
2016-09-07 04:41:48.019;1.62
2016-09-07 04:42:48.022;1.34
2016-09-07 04:43:18.020;1.22
2016-09-07 04:43:48.020;1.58
2016-09-07 04:44:18.001;1.3
2016-09-07 04:44:48.023;1.2
2016-09-07 04:45:18.003;1.05
2016-09-07 04:45:48.029;0.64
2016-09-07 04:46:18.004;0.51
2016-09-07 04:46:48.026;0.56
2016-09-07 04:47:18.007;0.49
2016-09-07 04:47:48.029;0.59
2016-09-07 04:48:18.009;0.41
2016-09-07 04:48:48.036;2.03
2016-09-07 04:49:18.010;1.9
2016-09-07 04:49:48.024;1.94
2016-09-07 04:50:18.013;1.84
2016-09-07 04:50:48.037;1.77
2016-09-07 04:51:18.015;1.6
2016-09-07 04:51:48.032;1.76
2016-09-07 04:52:18.017;1.56
2016-09-07 04:52:48.040;1.57
2016-09-07 04:53:18.019;1.06
2016-09-07 04:53:48.042;0.64
2016-09-07 04:54:18.018;1.19
2016-09-07 04:54:48.034;1.12
2016-09-07 04:55:18.021;0.96
2016-09-07 04:55:48.035;0.88
2016-09-07 04:56:18.022;0.78
2016-09-07 04:56:48.053;0.47
2016-09-07 04:57:18.023;0.29
2016-09-07 04:57:48.045;0.44
2016-09-07 04:58:18.026;0.27
2016-09-07 04:58:48.040;0.71
2016-09-07 04:59:18.026;1.88
2016-09-07 04:59:48.055;2.01
2016-09-07 05:00:18.027;1.85
2016-09-07 05:00:48.051;1.91
2016-09-07 05:01:18.029;1.61
2016-09-07 05:01:48.052;1.65
2016-09-07 05:02:18.031;1.72
2016-09-07 05:02:48.059;1.67
2016-09-07 05:03:18.032;1.99
2016-09-07 05:03:48.059;1.83
2016-09-07 05:04:18.034;1.63
2016-09-07 05:04:48.051;1.4
2016-09-07 05:05:18.035;1.07
2016-09-07 05:05:48.057;1.15
2016-09-07 05:06:18.036;0.94
2016-09-07 05:06:48.064;0.57
2016-09-07 05:07:18.038;0.46
2016-09-07 05:07:48.063;0.5
2016-09-07 05:08:18.040;0.42
2016-09-07 05:08:48.065;0.49
2016-09-07 05:09:18.041;0.87
2016-09-07 05:09:48.065;0.9
2016-09-07 05:10:18.043;1.33
2016-09-07 05:10:48.063;1.6
2016-09-07 05:11:18.045;1.81
2016-09-07 05:11:48.075;1.45
2016-09-07 05:12:18.046;1.09
2016-09-07 05:12:48.064;1.14
2016-09-07 05:13:18.048;1.48
2016-09-07 05:13:48.075;1.74
2016-09-07 05:14:18.048;1.66
2016-09-07 05:14:48.056;1.37
2016-09-07 05:15:18.065;1.09
2016-09-07 05:15:48.052;0.88
2016-09-07 05:16:18.074;0.7
2016-09-07 05:16:48.055;0.95
2016-09-07 05:17:18.079;0.74
2016-09-07 05:17:48.056;0.45
2016-09-07 05:18:18.075;0.42
2016-09-07 05:18:48.057;0.33
2016-09-07 05:19:18.075;0.2
2016-09-07 05:19:48.060;0.72
2016-09-07 05:20:18.078;1.22
2016-09-07 05:20:48.059;1.53
2016-09-07 05:21:18.077;1.71
2016-09-07 05:21:48.062;1.69
2016-09-07 05:22:18.076;1.76
2016-09-07 05:22:48.065;1.43
2016-09-07 05:23:18.090;1.33
2016-09-07 05:23:48.065;1.68
2016-09-07 05:24:18.090;1.8
2016-09-07 05:24:48.066;1.34
2016-09-07 05:25:18.089;1.16
2016-09-07 05:25:48.068;1.21
2016-09-07 05:26:18.093;1.28
2016-09-07 05:26:48.069;1.03
2016-09-07 05:27:18.093;0.78
2016-09-07 05:27:48.072;0.54
2016-09-07 05:28:18.091;0.32
2016-09-07 05:28:48.073;0.34
2016-09-07 05:29:18.093;0.62
2016-09-07 05:29:48.073;0.38
2016-09-07 05:30:18.090;0.55
2016-09-07 05:30:48.075;0.9
2016-09-07 05:31:18.097;1.33
2016-09-07 05:31:48.077;1.6
2016-09-07 05:32:18.100;1.75
2016-09-07 05:32:48.077;1.92
2016-09-07 05:33:18.103;1.65
2016-09-07 05:33:48.078;1.34
2016-09-07 05:34:18.100;1.63
2016-09-07 05:34:48.081;1.78
2016-09-07 05:35:18.103;1.75
2016-09-07 05:35:48.092;1.43
2016-09-07 05:36:18.098;1.41
